kelime,kok
Günümüzde,Gün:ümüzde 
geliþen,geliþ:en
saldýrý,saldýr:ý
teknikleri,teknik:leri
nedeniyle,neden:iyle
Linux,Linux
sistemlerin,sistem:lerin
savunmasý,savun:masý
büyük,büyük
önem,önem
arz ,arz
etmeye,et:meye
baþlamýþtýr,baþla:mýþtýr
Temel,Temel
bilgisayar,bilgi:sayar
bilgisine,bilgi:sine
sahip,sahip
kiþiler,kiþi:ler
bile,bil:e
internette,internet:te
çeþitli,çeþit:li 
fiyatlarda,fiyat:larda
satýlan,sat:ýlan
araçlarý,araç:larý 
kullanarak,kullan:arak
yüksek,yük:sek
bilgi,bil:gi
birikimi,birikim:i
ve,ve
beceri,becer:i
isteyen,iste:yen
saldýrýlarý,saldýr:ýlarý
gerçekleþtirebilmektedir,gerçek:leþtirebilmektedir
Bu,Bu
tarz,tarz
uygulamalarýn,uygulama:larýn
bir,bir
pazarý,pazar:ý
olmasý,ol:masý 
nedeniyle,neden:iyle
her,her
geçen,geç:en
gün,gün 
daha,daha
da,da
geliþmekte,geliþ:mekte
ve,ve
sistemlerin,sistem:lerin
yeni,yeni 
zafiyetleri,zafiyet:leri
tespit,tespit 
edilip,et:ilip
bu,bu
saldýrý,saldýr:ý
araçlarý,araç:larý 
güncellenmektedir,güncel:lenmektedir
Hal,Hal
böyle,böyle 
iken,iken
Linux,Linux 
sunucu,sunu:cu 
sistemlerine,sistem:lerine
yapýlan,yap:ýlan
saldýrýlarýn,saldýr:ýlarýn 
tehdit,tehdit
riski,risk:i 
daha,daha
da,da
artmýþtýr,art:mýþtýr 
Siber,siber
saldýrganlarýn,saldýr:ganlarýn
öncelikli,önce:likli
hedefi,hedef:i
bilgi,bil:gi
sistemini,sistem:ini
ele,el:e
geçirmektir,geçir:mektir
Bu,bu
açýdan,açý:dan
akla,akýl
gelen,gel:en
ilk,ilk
saldýrý,saldýr;ý
kaba,kaba
kuvvet,kuvvet 
saldýrýlarýdýr,saldýr:ýlarýdýr
Bu,bu
saldýrýlarýn,saldýr:ýlarýn 
Linux,linux 
sistemlere,sistem:lere 
yönelik,yön:elik
yapýlanýna,yapý:lanýna
SSH,SSH 
kaba,kaba
kuvvet,kuvvet 
saldýrýsý,saldýr:ýsý 
da,da 
denmektedir,den:mektedir 
Sistem,sistem
parola,parola
ile,ile 
korunuyorsa,korun:uyorsa 
kaba,kaba 
kuvvet,kuvvet 
saldýrýsýyla,saldýr:ýsýyla 
þifrenin,þifre:nin
kýrýlmasý,kýr:ýlmasý 
gereklidir,gerek:lidir
Bu,bu 
amaç,amaç 
için,için
daha,daha 
önceden,önce:den
hazýrlanmýþ,hazýr:lanmýþ 
sayýlar,sayý:lar 
harfler,harf:ler 
ve,ve 
özel,özel 
karakterler,karakter:ler 
bulunan,bul:unan
bir,bir 
Pass,pass 
List,list
hazýrlanýr,hazýr:lanýr 
Þifreye,þifre:ye
ulaþmak,ulaþ,mak 
için,için
denemeler,deneme,ler 
yapýlýr,yap:ýlýr 
ve,ve
doðru,doðru
þifreyi,þifre:yi 
bulana,bul:ana
kadar,kadar 
devam,devam
edilir,et:ilir 
